date,nav,scheme_code,scheme_name,fund_house,scheme_category,scheme_type,isin_growth,isin_div_reinvestment
04-05-2026,102.07640,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
30-04-2026,101.56770,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
29-04-2026,102.32710,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
28-04-2026,101.87640,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
27-04-2026,102.58230,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
24-04-2026,101.60310,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
23-04-2026,102.78330,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
22-04-2026,103.96770,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
21-04-2026,104.31720,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
20-04-2026,103.39690,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
17-04-2026,103.51040,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
16-04-2026,102.77700,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
15-04-2026,102.58910,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
13-04-2026,100.65320,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
10-04-2026,101.12140,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
09-04-2026,99.42000,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
08-04-2026,100.22130,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
07-04-2026,96.48350,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
06-04-2026,95.93760,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
02-04-2026,94.86290,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
01-04-2026,94.89350,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
31-03-2026,93.26300,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
30-03-2026,93.26460,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
27-03-2026,95.35760,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
25-03-2026,97.36650,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
24-03-2026,95.56380,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
23-03-2026,93.44220,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
20-03-2026,96.40210,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
19-03-2026,96.02600,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
18-03-2026,99.17080,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
17-03-2026,98.30920,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
16-03-2026,97.44980,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
13-03-2026,96.65570,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
12-03-2026,98.95500,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
11-03-2026,99.98720,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
10-03-2026,101.32450,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
09-03-2026,100.18720,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
06-03-2026,102.11070,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
05-03-2026,103.25240,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
04-03-2026,102.20990,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
02-03-2026,104.23020,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
28-02-2026,105.56640,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
27-02-2026,105.56800,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
26-02-2026,106.67080,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
25-02-2026,106.37020,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
24-02-2026,105.95550,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
23-02-2026,106.82150,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
20-02-2026,106.13660,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
19-02-2026,105.59880,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
18-02-2026,107.00540,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
17-02-2026,106.45150,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
16-02-2026,106.22490,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
13-02-2026,105.69230,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
12-02-2026,107.07670,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
11-02-2026,107.52330,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
10-02-2026,107.19280,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
09-02-2026,106.70580,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
06-02-2026,105.71590,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
05-02-2026,105.79800,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
04-02-2026,106.38230,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
03-02-2026,106.18900,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
02-02-2026,103.64190,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
31-01-2026,104.83320,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
30-01-2026,104.83500,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
29-01-2026,105.29590,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
28-01-2026,104.93750,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
27-01-2026,104.09720,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
23-01-2026,103.76620,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
22-01-2026,104.70080,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
21-01-2026,104.11860,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
20-01-2026,104.44740,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
19-01-2026,105.90850,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
16-01-2026,106.44960,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
14-01-2026,106.32710,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
13-01-2026,106.43980,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
12-01-2026,106.53080,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
09-01-2026,106.30700,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
08-01-2026,106.97650,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
07-01-2026,108.19920,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
06-01-2026,108.20850,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
05-01-2026,107.96360,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
02-01-2026,108.14660,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
01-01-2026,107.33110,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
31-12-2025,107.00320,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
30-12-2025,106.23000,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
29-12-2025,106.31810,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
26-12-2025,106.48050,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
24-12-2025,106.76820,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
23-12-2025,107.06510,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
22-12-2025,106.95800,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
19-12-2025,106.30370,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
18-12-2025,105.67020,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
17-12-2025,105.67590,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
16-12-2025,105.88850,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
15-12-2025,106.44730,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
12-12-2025,106.47960,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
11-12-2025,105.87250,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
10-12-2025,105.28070,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
09-12-2025,105.52280,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
08-12-2025,105.80020,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
05-12-2025,106.71880,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
04-12-2025,106.24030,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
03-12-2025,106.10840,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
02-12-2025,106.37430,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
01-12-2025,106.65290,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
30-11-2025,106.68180,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
28-11-2025,106.68550,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
27-11-2025,106.74210,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
26-11-2025,106.64030,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
25-11-2025,105.36280,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
24-11-2025,105.38740,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
21-11-2025,105.60110,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
20-11-2025,106.22820,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
19-11-2025,105.80570,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
18-11-2025,105.36020,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
17-11-2025,105.79720,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
14-11-2025,105.45120,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
13-11-2025,105.61000,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
12-11-2025,105.41280,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
11-11-2025,104.98930,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
10-11-2025,104.65370,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
07-11-2025,104.37050,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
06-11-2025,104.46380,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
04-11-2025,104.78670,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
03-11-2025,105.33070,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
31-10-2025,104.99390,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
30-10-2025,105.63820,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
29-10-2025,106.28580,119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,INF200K01QX4,
